time,Temp (C),average humidity %,average wind speed
2013-04-29,9.7375,60.83333333,36.71666667
2013-04-30,9.266666667,80.29166667,36.13333333
2013-05-01,8.991666667,79.91666667,24.40416667
2013-05-02,9.504166667,82.08333333,12.81666667
2013-05-03,8.991666667,86.29166667,25.5375
2013-05-04,10.21666667,80.33333333,29.44166667
2013-05-05,11.29583333,80.08333333,30.12916667
2013-05-06,11.53333333,86.45833333,14.675
2013-05-07,12.41666667,79.41666667,25.19166667
2013-05-08,11.84166667,87.45833333,30.17083333
2013-05-09,11.33333333,90.20833333,32.10833333
2013-05-10,14.13333333,62.58333333,47.28333333
2013-05-11,13.17916667,73.375,20.72083333
2013-05-12,12.7,85.0,31.4375
2013-05-13,14.63333333,78.83333333,39.47916667
2013-05-14,13.75416667,72.58333333,25.19583333
2013-05-15,13.525,82.20833333,19.18333333
2013-05-16,13.26666667,87.66666667,29.2625
2013-05-17,13.2125,87.16666667,20.45416667
2013-05-18,11.93333333,91.95833333,15.81666667
2013-05-19,13.12916667,77.08333333,27.92083333
2013-05-20,15.14583333,63.0,40.875
2013-05-21,14.07083333,89.04166667,25.28333333
2013-05-22,14.00416667,91.125,21.78333333
2013-05-23,16.07083333,83.95833333,20.0375
2013-05-24,15.68333333,90.54166667,16.16666667
2013-05-25,15.725,86.625,39.50833333
2013-05-26,15.8125,89.91666667,48.21666667
2013-05-27,14.79166667,93.95833333,31.0375
2013-05-28,15.0375,85.75,33.40416667
2013-05-29,15.50833333,72.66666667,42.37083333
2013-05-30,15.9625,78.125,34.7125
2013-05-31,15.40833333,87.25,25.35
2013-06-01,15.39583333,92.33333333,6.479166667
2013-06-02,16.6125,85.20833333,30.46666667
2013-06-03,16.38333333,88.41666667,27.625
2013-06-04,16.375,88.58333333,27.07916667
2013-06-05,16.59166667,91.70833333,32.3
2013-06-06,17.00833333,87.41666667,33.90833333
2013-06-07,16.8125,90.5,23.1875
2013-06-08,17.20833333,89.04166667,12.875
2013-06-09,18.84166667,82.0,28.6
2013-06-10,18.35,82.04166667,17.8875
2013-06-11,16.47083333,89.375,22.17083333
2013-06-12,17.49166667,85.625,18.94583333
2013-06-13,18.6375,85.04166667,22.825
2013-06-14,18.52916667,84.95833333,23.5875
2013-06-15,19.1125,90.125,26.12916667
2013-06-16,19.59166667,93.625,25.97916667
2013-06-17,19.30416667,91.79166667,20.39166667
2013-06-18,19.70416667,91.125,20.75416667
2013-06-19,20.89166667,82.33333333,20.3875
2013-06-20,22.30833333,76.33333333,24.875
2013-06-21,21.2875,84.125,32.1375
2013-06-22,20.44583333,87.625,21.35416667
2013-06-23,20.2125,90.95833333,16.23333333
2013-06-24,20.5875,88.33333333,27.24166667
2013-06-25,20.54166667,87.625,30.29583333
2013-06-26,21.73333333,83.45833333,36.675
2013-06-27,21.45416667,89.95833333,25.775
2013-06-28,21.69583333,84.45833333,32.42083333
2013-06-29,21.57083333,86.875,37.125
2013-06-30,21.825,87.75,38.25
2013-07-01,22.32083333,89.75,46.20833333
2013-07-02,21.83333333,83.16666667,40.95833333
2013-07-03,21.72083333,89.91666667,21.0375
2013-07-04,21.95,91.91666667,19.14583333
2013-07-05,22.475,93.41666667,13.83333333
2013-07-06,22.89583333,90.70833333,34.94166667
2013-07-07,22.77916667,94.125,19.39583333
2013-07-08,23.53333333,93.41666667,16.67916667
2013-07-09,23.47083333,93.20833333,23.24166667
2013-07-10,22.9,93.375,17.75833333
2013-07-11,22.4375,92.66666667,13.15
2013-07-12,22.25416667,91.41666667,16.49166667
2013-07-13,22.59166667,93.41666667,20.175
2013-07-14,23.7625,92.04166667,35.6
2013-07-15,24.0875,90.125,43.27916667
2013-07-16,22.42083333,94.125,11.24583333
2013-07-17,23.04583333,95.45833333,24.63333333
2013-07-18,23.9125,93.83333333,26.575
2013-07-19,23.27083333,95.91666667,21.98333333
2013-07-20,23.25,91.08333333,12.475
2013-07-21,23.78333333,92.83333333,13.3
2013-07-22,23.82083333,95.5,17.84583333
2013-07-23,23.07083333,89.83333333,32.42083333
2013-07-24,23.84166667,89.625,18.9125
2013-07-25,24.85833333,84.5,14.9
2013-07-26,24.63333333,90.29166667,25.7875
2013-07-27,24.80833333,94.70833333,28.06666667
2013-07-28,24.64583333,91.54166667,18.76666667
2013-07-29,24.95833333,89.375,28.81666667
2013-07-30,23.575,88.33333333,18.29583333
2013-07-31,24.63333333,87.0,22.50416667
2013-08-01,24.79166667,93.125,24.87916667
2013-08-02,25.12916667,93.25,21.85
2013-08-03,25.33333333,92.25,24.84166667
2013-08-04,26.16666667,90.375,23.28333333
2013-08-05,26.57916667,91.45833333,16.54583333
2013-08-06,27.75833333,88.70833333,21.09166667
2013-08-07,27.6,88.04166667,23.35
2013-08-08,26.5625,90.45833333,21.71666667
2013-08-09,27.125,90.5,18.12916667
2013-08-10,27.55833333,91.375,19.45416667
2013-08-11,27.98333333,89.20833333,26.08333333
2013-08-12,27.49166667,89.45833333,22.56666667
2013-08-13,27.42916667,89.54166667,29.225
2013-08-14,27.59583333,90.08333333,27.5875
2013-08-15,27.82083333,89.04166667,35.07916667
2013-08-16,27.97916667,87.0,40.37083333
2013-08-17,26.94583333,81.25,29.89583333
2013-08-18,26.00416667,70.29166667,25.37083333
2013-08-19,26.09166667,71.95833333,18.62083333
2013-08-20,25.76666667,77.66666667,13.8
2013-08-21,25.86666667,80.25,12.825
2013-08-22,25.82916667,80.5,6.020833333
2013-08-23,26.40416667,78.70833333,11.62083333
2013-08-24,26.25833333,78.54166667,11.82916667
2013-08-25,26.38333333,78.91666667,8.883333333
2013-08-26,24.2625,70.25,17.56666667
2013-08-27,25.40416667,75.91666667,25.91666667
2013-08-28,24.99583333,87.41666667,32.3375
2013-08-29,21.76666667,70.54166667,39.9375
2013-08-30,22.74166667,54.375,29.69166667
2013-08-31,22.58333333,60.41666667,12.9875
2013-09-01,23.00416667,64.625,7.954166667
2013-09-02,22.35,62.33333333,7.4625
2013-09-03,21.92916667,58.95833333,20.78333333
2013-09-04,22.1375,62.45833333,12.6125
2013-09-05,22.15416667,75.45833333,21.3875
2013-09-06,22.04583333,75.95833333,6.995833333
2013-09-07,22.99166667,79.0,8.7125
2013-09-08,23.27083333,80.33333333,16.94583333
2013-09-09,22.63333333,76.95833333,10.15416667
2013-09-10,22.22083333,82.625,12.975
2013-09-11,22.59583333,83.875,12.14583333
2013-09-12,22.6875,83.70833333,26.3625
2013-09-13,23.1125,87.0,28.7625
2013-09-14,22.22083333,76.29166667,22.09166667
2013-09-15,22.37916667,55.08333333,15.84583333
2013-09-16,23.45,73.70833333,27.17083333
2013-09-17,23.36666667,80.875,14.83333333
2013-09-18,23.2875,80.70833333,24.24583333
2013-09-19,22.99166667,88.125,14.62916667
2013-09-20,23.03333333,88.58333333,10.325
2013-09-21,22.89166667,90.25,16.17916667
2013-09-22,22.8625,91.5,24.1125
2013-09-23,17.30416667,68.95833333,49.62916667
2013-09-24,18.65416667,44.91666667,38.11666667
2013-09-25,19.63333333,53.29166667,12.57083333
2013-09-26,20.58333333,66.125,24.58333333
2013-09-27,20.14583333,70.45833333,32.4125
2013-09-28,19.37083333,72.41666667,17.7625
2013-09-29,19.85833333,80.20833333,15.45
2013-09-30,20.17916667,81.83333333,11.34166667
2013-10-01,17.07916667,72.20833333,37.45833333
2013-10-02,17.3875,58.625,20.55833333
2013-10-03,19.175,69.41666667,24.5375
2013-10-04,20.0875,73.41666667,25.5625
2013-10-05,19.92916667,75.625,18.475
2013-10-06,19.80833333,87.0,14.57916667
2013-10-07,18.21666667,61.20833333,30.92916667
2013-10-08,18.46666667,61.08333333,15.7375
2013-10-09,20.26666667,78.54166667,38.875
2013-10-10,18.7375,58.41666667,41.23333333
2013-10-11,18.86666667,62.125,17.50416667
2013-10-12,19.2125,85.75,27.02916667
2013-10-13,17.3375,79.5,41.00833333
2013-10-14,10.83333333,55.79166667,51.82083333
2013-10-15,11.84166667,56.16666667,31.0375
2013-10-16,15.475,59.5,12.82916667
2013-10-17,16.55,64.91666667,19.4625
2013-10-18,16.77916667,70.33333333,24.45416667
2013-10-19,15.55833333,74.16666667,18.7125
2013-10-20,14.13333333,74.66666667,26.42916667
2013-10-21,15.2,75.33333333,11.2625
2013-10-22,16.13333333,76.29166667,20.225
2013-10-23,12.81666667,60.58333333,28.69583333
2013-10-24,12.6,56.5,31.2875
2013-10-25,13.00416667,52.58333333,27.95
2013-10-26,15.06666667,54.5,23.2875
2013-10-27,15.80416667,71.625,26.9375
2013-10-28,12.85416667,81.04166667,25.2625
2013-10-29,11.60416667,57.04166667,19.2125
2013-10-30,13.525,57.25,10.85416667
2013-10-31,14.25,63.875,7.354166667
2013-11-01,14.11666667,70.66666667,17.57083333
2013-11-02,14.07083333,77.0,28.05416667
2013-11-03,13.62083333,60.41666667,30.05416667
2013-11-04,14.23333333,57.91666667,22.10416667
2013-11-05,14.95416667,75.20833333,34.19166667
2013-11-06,12.75416667,58.33333333,32.20833333
2013-11-07,12.97916667,53.5,18.56666667
2013-11-08,14.68333333,79.33333333,27.25833333
2013-11-09,7.25,66.20833333,42.3
2013-11-10,7.5,51.66666667,30.41666667
2013-11-11,9.2125,56.29166667,23.87083333
2013-11-12,8.454166667,50.91666667,17.10833333
2013-11-13,12.07083333,62.0,32.075
2013-11-14,12.15416667,51.0,29.2375
2013-11-15,12.62916667,66.95833333,30.51666667
2013-11-16,7.945833333,58.375,42.50833333
2013-11-17,5.558333333,54.45833333,50.47916667
2013-11-18,4.983333333,56.0,42.35416667
2013-11-19,6.0125,46.45833333,26.3125
2013-11-20,5.954166667,52.29166667,15.88333333
2013-11-21,9.483333333,57.45833333,22.36666667
2013-11-22,10.95833333,69.875,28.85833333
2013-11-23,11.37083333,83.375,18.025
2013-11-24,6.104166667,72.25,49.96666667
2013-11-25,7.079166667,45.79166667,35.95416667
2013-11-26,3.166666667,57.70833333,36.52083333
2013-11-27,1.283333333,55.91666667,39.92083333
2013-11-28,5.904166667,49.83333333,31.43333333
2013-11-29,8.416666667,60.41666667,35.575
2013-11-30,6.020833333,53.29166667,28.37083333
2013-12-01,8.670833333,62.45833333,33.99583333
2013-12-02,9.304166667,65.375,18.56666667
2013-12-03,9.316666667,64.79166667,21.0125
2013-12-04,7.5875,64.70833333,27.12083333
2013-12-05,6.083333333,55.29166667,23.95
2013-12-06,8.066666667,59.75,16.25416667
2013-12-07,8.745833333,76.58333333,19.27083333
2013-12-08,5.6,76.20833333,34.98333333
2013-12-09,3.35,57.375,31.79583333
2013-12-10,2.883333333,62.5,46.8
2013-12-11,3.816666667,51.91666667,29.075
2013-12-12,0.3,51.25,38.57916667
2013-12-13,2.645833333,51.20833333,29.79166667
2013-12-14,2.104166667,54.20833333,20.0125
2013-12-15,2.229166667,53.125,7.945833333
2013-12-16,2.820833333,62.375,18.97916667
2013-12-17,-0.416666667,66.875,36.94583333
2013-12-18,-1.941666667,66.375,41.5375
2013-12-19,-1.145833333,70.33333333,45.27083333
2013-12-20,-0.4,72.875,41.2875
2013-12-21,-0.283333333,68.54166667,27.30416667
2013-12-22,1.8375,62.79166667,20.51666667
2013-12-23,0.454166667,65.29166667,27.8125
2013-12-24,2.25,66.0,15.82083333
