location_id,time,Temp (C),average humidity %,average wind speed
0,4/20/2013,5.420833333,76.58333333,38.43333333
0,4/21/2013,6.704166667,73.33333333,33.86666667
0,4/22/2013,7.258333333,76.29166667,33.12083333
0,4/23/2013,6.704166667,89.33333333,24.32916667
0,4/24/2013,7.491666667,84.25,27.9875
0,4/25/2013,8.558333333,69.29166667,24.32916667
0,4/26/2013,8.75,71.5,35.17083333
0,4/27/2013,8.575,84,37.49583333
0,4/28/2013,9.1375,77.83333333,33.84583333
0,4/29/2013,9.7375,60.83333333,36.71666667
0,4/30/2013,9.266666667,80.29166667,36.13333333
0,5/1/2013,8.991666667,79.91666667,24.40416667
0,5/2/2013,9.504166667,82.08333333,12.81666667
0,5/3/2013,8.991666667,86.29166667,25.5375
0,5/4/2013,10.21666667,80.33333333,29.44166667
0,5/5/2013,11.29583333,80.08333333,30.12916667
0,5/6/2013,11.53333333,86.45833333,14.675
0,5/7/2013,12.41666667,79.41666667,25.19166667
0,5/8/2013,11.84166667,87.45833333,30.17083333
0,5/9/2013,11.33333333,90.20833333,32.10833333
0,5/10/2013,14.13333333,62.58333333,47.28333333
0,5/11/2013,13.17916667,73.375,20.72083333
0,5/12/2013,12.7,85,31.4375
0,5/13/2013,14.63333333,78.83333333,39.47916667
0,5/14/2013,13.75416667,72.58333333,25.19583333
0,5/15/2013,13.525,82.20833333,19.18333333
0,5/16/2013,13.26666667,87.66666667,29.2625
0,5/17/2013,13.2125,87.16666667,20.45416667
0,5/18/2013,11.93333333,91.95833333,15.81666667
0,5/19/2013,13.12916667,77.08333333,27.92083333
0,5/20/2013,15.14583333,63,40.875
0,5/21/2013,14.07083333,89.04166667,25.28333333
0,5/22/2013,14.00416667,91.125,21.78333333
0,5/23/2013,16.07083333,83.95833333,20.0375
0,5/24/2013,15.68333333,90.54166667,16.16666667
0,5/25/2013,15.725,86.625,39.50833333
0,5/26/2013,15.8125,89.91666667,48.21666667
0,5/27/2013,14.79166667,93.95833333,31.0375
0,5/28/2013,15.0375,85.75,33.40416667
0,5/29/2013,15.50833333,72.66666667,42.37083333
0,5/30/2013,15.9625,78.125,34.7125
0,5/31/2013,15.40833333,87.25,25.35
0,6/1/2013,15.39583333,92.33333333,6.479166667
0,6/2/2013,16.6125,85.20833333,30.46666667
0,6/3/2013,16.38333333,88.41666667,27.625
0,6/4/2013,16.375,88.58333333,27.07916667
0,6/5/2013,16.59166667,91.70833333,32.3
0,6/6/2013,17.00833333,87.41666667,33.90833333
0,6/7/2013,16.8125,90.5,23.1875
0,6/8/2013,17.20833333,89.04166667,12.875
0,6/9/2013,18.84166667,82,28.6
0,6/10/2013,18.35,82.04166667,17.8875
0,6/11/2013,16.47083333,89.375,22.17083333
0,6/12/2013,17.49166667,85.625,18.94583333
0,6/13/2013,18.6375,85.04166667,22.825
0,6/14/2013,18.52916667,84.95833333,23.5875
0,6/15/2013,19.1125,90.125,26.12916667
0,6/16/2013,19.59166667,93.625,25.97916667
0,6/17/2013,19.30416667,91.79166667,20.39166667
0,6/18/2013,19.70416667,91.125,20.75416667
0,6/19/2013,20.89166667,82.33333333,20.3875
0,6/20/2013,22.30833333,76.33333333,24.875
0,6/21/2013,21.2875,84.125,32.1375
0,6/22/2013,20.44583333,87.625,21.35416667
0,6/23/2013,20.2125,90.95833333,16.23333333
0,6/24/2013,20.5875,88.33333333,27.24166667
0,6/25/2013,20.54166667,87.625,30.29583333
0,6/26/2013,21.73333333,83.45833333,36.675
0,6/27/2013,21.45416667,89.95833333,25.775
0,6/28/2013,21.69583333,84.45833333,32.42083333
0,6/29/2013,21.57083333,86.875,37.125
0,6/30/2013,21.825,87.75,38.25
0,7/1/2013,22.32083333,89.75,46.20833333
0,7/2/2013,21.83333333,83.16666667,40.95833333
0,7/3/2013,21.72083333,89.91666667,21.0375
0,7/4/2013,21.95,91.91666667,19.14583333
0,7/5/2013,22.475,93.41666667,13.83333333
0,7/6/2013,22.89583333,90.70833333,34.94166667
0,7/7/2013,22.77916667,94.125,19.39583333
0,7/8/2013,23.53333333,93.41666667,16.67916667
0,7/9/2013,23.47083333,93.20833333,23.24166667
0,7/10/2013,22.9,93.375,17.75833333
0,7/11/2013,22.4375,92.66666667,13.15
0,7/12/2013,22.25416667,91.41666667,16.49166667
0,7/13/2013,22.59166667,93.41666667,20.175
0,7/14/2013,23.7625,92.04166667,35.6
0,7/15/2013,24.0875,90.125,43.27916667
0,7/16/2013,22.42083333,94.125,11.24583333
0,7/17/2013,23.04583333,95.45833333,24.63333333
0,7/18/2013,23.9125,93.83333333,26.575
0,7/19/2013,23.27083333,95.91666667,21.98333333
0,7/20/2013,23.25,91.08333333,12.475
0,7/21/2013,23.78333333,92.83333333,13.3
0,7/22/2013,23.82083333,95.5,17.84583333
0,7/23/2013,23.07083333,89.83333333,32.42083333
0,7/24/2013,23.84166667,89.625,18.9125
0,7/25/2013,24.85833333,84.5,14.9
0,7/26/2013,24.63333333,90.29166667,25.7875
0,7/27/2013,24.80833333,94.70833333,28.06666667
0,7/28/2013,24.64583333,91.54166667,18.76666667
0,7/29/2013,24.95833333,89.375,28.81666667
0,7/30/2013,23.575,88.33333333,18.29583333
0,7/31/2013,24.63333333,87,22.50416667
0,8/1/2013,24.79166667,93.125,24.87916667
0,8/2/2013,25.12916667,93.25,21.85
0,8/3/2013,25.33333333,92.25,24.84166667
0,8/4/2013,26.16666667,90.375,23.28333333
